Name	Mana Cost	Type	Rules Text	Flavor Text	Power	Toughness	Loyalty	Name 2	Mana Cost 2	Type 2	Rules Text 2	Flavor Text 2	Power 2	Toughness 2	Loyalty 2	
The Vidalian	5	Legendary Enchantment — Landmark 	​				3	
Crashing Drawbridge	2	Artifact Creature — Wall 	Defender\n T: Creatures you control gain haste until end of turn.		0	4		
Elves of Deep Shadow	G	Creature — Elf Druid 	T: Add B. This creature deals 1 damage to you.		1	1		
Eternal Witness	1GG	Creature — Human Shaman 	When this creature enters, you may return target card from your graveyard to your hand.		2	1		
Grim Flayer	BG	Creature — Human Warrior 	Trample\n Whenever Grim Flayer deals combat damage to a player, surveil 3. (Look at the top three cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)\n Delirium — TGrim Flayer gets +2/+2 as long as there are four or more card types among cards in your graveyard.		2	2		
Harmonic Sliver	1GW	Creature — Sliver 	All Slivers have “When this permanent enters, destroy target artifact or enchantment.”		1	1		
Izoni, Center of the Web	4BG	Legendary Creature — Elf Detective 	Menace\n Whenever Izoni enters or attacks, you may collect evidence 4. If you do, create two 2/1 black and green Spider creature tokens with menace and reach.\n Sacrifice four tokens: Surveil 2, then draw two cards. You gain 2 life.		5	4		
Karador, Ghost Chieftain	5WBG	Legendary Creature — Spirit Centaur 	Karador costs  less to cast for each creature card in your graveyard.\n Once during each of your turns, you may cast a creature spell from your graveyard.		3	4		
Moon-Blessed Cleric	2W	Creature — Human Elf Cleric 	Divine Intervention — When this creature enters, you may search your library for an enchantment card, reveal it, then shuffle and put that card on top.					
Nikara, Lair Scavenger	2B	Legendary Creature — Human Cleric 	Partner with Yannik, Scavenging Sentinel (When this creature enters, target player may put Yannik into their hand from their library, then shuffle.)\n Menace\n Whenever another creature you control leaves the battlefield, if it had one or more counters on it, you draw a card and you lose 1 life.		2	2		
Polukranos, Unchained	2BG	Legendary Creature — Zombie Hydra 	Polukranos enters with six +1/+1 counters on it. It escapes with twelve +1/+1 counters on it instead.\n If damage would be dealt to Polukranos while it has a +1/+1 counter on it, prevent that damage and remove that many +1/+1 counters from it.\n 1BG: Polukranos fights another target creature.\n Escape—4BG, Exile six other cards from your graveyard.		0	0		
Priest of Fell Rites	WB	Creature — Human Warlock 	T, Pay 3 life, Sacrifice this creature: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.\n Unearth 2WB (2WB: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the end step or if it would leave the battlefield. Unearth only as a sorcery.)		2	2		
Reclamation Sage	2G	Creature — Elf Shaman 	When this creature enters, you may destroy target artifact or enchantment.		2	1		
Saffi Eriksdotter	GW	Legendary Creature — Human Scout 	Sacrifice Saffi Eriksdotter: When target creature is put into your graveyard this turn, return that card to the battlefield.		2	2		
Skull Prophet	BG	Creature — Human Druid 	T: Add B or G.\n T: Mill two cards. (Put the top two cards of your library into your graveyard.)					
Timeless Witness	2GG	Creature — Human Shaman 	When this creature enters, return target card from your graveyard to your hand.\n Eternalize 5GG (5GG, Exile this card from your graveyard: Create a token that’s a copy of it, except it’s a 4/4 black Zombie Human Shaman with no mana cost. Eternalize only as a sorcery.)		2	1		
Torsten, Founder of Benalia	5GW	Legendary Creature — Human Soldier 	When Torsten enters, reveal the top seven cards of your library. Put any number of creature and/or land cards from among them into your hand and the rest on the bottom of your library in a random order.\n When Torsten dies, create seven 1/1 white Soldier creature tokens.		7	7		
Underrealm Lich	3BG	Creature — Zombie Elf 	If you would draw a card, instead look at the top three cards of your library, then put one into your hand and the rest into your graveyard.\n Pay 4 life: This creature gains indestructible until end of turn. Tap it.		4	3		
Vengeful Pharaoh	2BBB	Creature — Zombie 	Deathtouch\n Whenever combat damage is dealt to you or a planeswalker you control, if this creature is in your graveyard, destroy target attacking creature, then put this creature on top of your library.		5	4		
Yannik, Scavenging Sentinel	2GW	Legendary Creature — Hyena Beast 	Partner with Nikara, Lair Scavenger\n Vigilance\n When Yannik enters, exile another creature you control until Yannik leaves the battlefield. When you do, distribute X +1/+1 counters among any number of target creatures, where X is the exiled creature’s power.		3	3		
Abzan Ascendancy	WBG	Enchantment	When this enchantment enters, put a +1/+1 counter on each creature you control.\n Whenever a nontoken creature you control dies, create a 1/1 white Spirit creature token with flying.					
Binding the Old Gods	2BG	Enchantment — Saga 	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\n I — Destroy target nonland permanent an opponent controls.\n II — Search your library for a Forest card, put it onto the battlefield tapped, then shuffle.\n III — Creatures you control gain deathtouch until end of turn.					
Death's Oasis	WBG	Enchantment	Whenever a nontoken creature you control dies, mill two cards. Then return a creature card with lesser mana value than the creature that died from your graveyard to your hand.\n 1, Sacrifice this enchantment: You gain life equal to the greatest mana value among creatures you control.					
Ethereal Absolution	4WB	Enchantment	Creatures you control get +1/+1.\n Creatures your opponents control get -1/-1.\n 2WB: Exile target card from an opponent’s graveyard. If it was a creature card, you create a 1/1 white and black Spirit creature token with flying.					
Hunting Grounds	GW	Enchantment	Threshold — As long as there are seven or more cards in your graveyard, Hunting Grounds has “Whenever an opponent casts a spell, you may put a creature card from your hand onto the battlefield.”					
Insidious Roots	BG	Enchantment	Creature tokens you control have “T: Add one mana of any color.”\n Whenever one or more creature cards leave your graveyard, create a 0/1 green Plant creature token, then put a +1/+1 counter on each Plant you control.					
Instill Energy	G	Enchantment — Aura 	Enchant creature\n Enchanted creature can attack as though it had haste.\n 0: Untap enchanted creature. Activate only during your turn and only once each turn.					
Oversold Cemetery	1B	Enchantment	At the beginning of your upkeep, if you have four or more creature cards in your graveyard, you may return target creature card from your graveyard to your hand.					
Phyrexian Reclamation	B	Enchantment	1B, Pay 2 life: Return target creature card from your graveyard to your hand.					
Spirit-Sister's Call	3WB	Enchantment	At the beginning of your end step, choose target permanent card in your graveyard. You may sacrifice a permanent that shares a card type with the chosen card. If you do, return the chosen card from your graveyard to the battlefield and it gains “If this permanent would leave the battlefield, exile it instead of putting it anywhere else.”					
The Kenriths' Royal Funeral	2WB	Legendary Enchantment	When The Kenriths’ Royal Funeral enters, exile up to two target legendary creature cards from your graveyard. You draw X cards and you lose X life, where X is the greatest mana value among cards exiled this way.\n Legendary spells you cast cost  less to cast for each card exiled with The Kenriths’ Royal Funeral.					
Fracture	WB	Instant	Destroy target artifact, enchantment, or planeswalker.					
Power Word Kill	1B	Instant	Destroy target non-Angel, non-Demon, non-Devil, non-Dragon creature.					
Sylvan Reclamation	3GW	Instant	Exile up to two target artifacts and/or enchantments.\n Basic landcycling 2 (2, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)					
Urgent Necropsy	2BG	Instant	As an additional cost to cast this spell, collect evidence X, where X is the total mana value of the permanents this spell targets.\n Destroy up to one target artifact, up to one target creature, up to one target enchantment, and up to one target planeswalker.					
Vanishing Verse	WB	Instant	Exile target monocolored permanent.					
Caves of Koilos		Land	T: Add C.\n T: Add W or B. This land deals 1 damage to you.					
Llanowar Wastes		Land	T: Add C.\n T: Add B or G. This land deals 1 damage to you.					
Sandsteppe Citadel		Land	This land enters tapped.\n T: Add W, B, or G.					
Sunpetal Grove		Land	This land enters tapped unless you control a Forest or a Plains.\n T: Add G or W.					
Nissa of Shadowed Boughs	2BG	Legendary Planeswalker — Nissa 	Landfall — Whenever a land you control enters, put a loyalty counter on Nissa.\n [+1]: Untap target land you control. You may have it become a 3/3 Elemental creature with haste and menace until end of turn. It’s still a land.\n [-5]: You may put a creature card with mana value less than or equal to the number of lands you control onto the battlefield from your hand or graveyard with two +1/+1 counters on it.				4	
Duneblast	4WBG	Sorcery	Choose up to one creature. Destroy the rest.					
Eerie Ultimatum	WWBBBGG	Sorcery	Return any number of permanent cards with different names from your graveyard to the battlefield.					
Find	B/GB/G	Sorcery	Return up to two target creature cards from your graveyard to your hand.					Finality	4BG	Sorcery	You may put two +1/+1 counters on a creature you control. Then all creatures get -4/-4 until end of turn.					
Merciless Eviction	4WB	Sorcery	Choose one —\n • Exile all artifacts.\n • Exile all creatures.\n • Exile all enchantments.\n • Exile all planeswalkers.					
Rite of Oblivion	WB		As an additional cost to cast this spell, sacrifice a nonland permanent.\n Exile target nonland permanent.\n Flashback 2WB (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Treasured Find	BG	Sorcery	Return target card from your graveyard to your hand. Exile Treasured Find.					
Witherbloom Command	BG	Sorcery	Choose two —\n • Target player mills three cards, then you return a land card from your graveyard to your hand.\n • Destroy target noncreature, nonland permanent with mana value 2 or less.\n • Target creature gets -3/-1 until end of turn.\n • Target opponent loses 2 life and you gain 2 life.					
Worm Harvest	2B/GB/GB/G	Sorcery	Create a 1/1 black and green Worm creature token for each land card in your graveyard.\n Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)					
Nim Deathmantle	2	Artifact — Equipment 	Equipped creature gets +2/+2, has intimidate, and is a black Zombie. (That creature can’t be blocked except by artifact creatures and/or creatures that share a color with it.)\n Whenever a nontoken creature is put into your graveyard from the battlefield, you may pay 4. If you do, return that card to the battlefield and attach this Equipment to it.\n Equip 4					
Staff of Compleation	3	Artifact	T, Pay 1 life: Destroy target permanent you own.\n T, Pay 2 life: Add one mana of any color.\n T, Pay 3 life: Proliferate.\n T, Pay 4 life: Draw a card.\n 5: Untap this artifact.					
Blightbelly Rat	1B	Creature — Phyrexian Rat 	Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)\n When this creature dies, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)		2	2		
Bloated Contaminator	2G	Creature — Phyrexian Beast 	Trample\n Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)\n Whenever this creature deals combat damage to a player, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)		4	4		
Body Launderer	2BB	Creature — Ogre Rogue 	Deathtouch\n Whenever another nontoken creature you control dies, this creature connives.\n When this creature dies, return another target non-Rogue creature card with equal or lesser power from your graveyard to the battlefield.		3	3		
Cankerbloom	1G	Creature — Phyrexian Fungus 	1, Sacrifice this creature: Choose one —\n • Destroy target artifact.\n • Destroy target enchantment.\n • Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)		3	2		
Contagious Vorrac	2G	Creature — Beast Boar Phyrexian 	When this creature enters, look at the top four cards of your library. You may reveal a land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn’t put a card into your hand this way, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)		3	3		
Contaminant Grafter	4G	Creature — Phyrexian Druid 	Trample, toxic 1\n Whenever one or more creatures you control deal combat damage to one or more players, proliferate.\n Corrupted — At the beginning of your end step, if an opponent has three or more poison counters, draw a card, then you may put a land card from your hand onto the battlefield.		5	5		
Deeproot Wayfinder	1G	Creature — Merfolk Scout 	Whenever this creature deals combat damage to a player or battle, surveil 1, then you may return a land card from your graveyard to the battlefield tapped. (To surveil 1, look at the top card of your library. You may put it into your graveyard.)		2	3		
Dune Mover	2	Artifact Creature — Phyrexian Golem 	Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)\n When this creature enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.		2	1		
Foundation Breaker	3G	Creature — Elemental 	When this creature enters, you may destroy target artifact or enchantment.\n Evoke 1G (You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters.)		2	2		
Fynn, the Fangbearer	1G	Legendary Creature — Human Warrior 	Deathtouch\n Whenever a creature you control with deathtouch deals combat damage to a player, that player gets two poison counters.		1	3		
Genesis	4G	Creature — Incarnation 	At the beginning of your upkeep, if this creature is in your graveyard, you may pay . If you do, return target creature card from your graveyard to your hand.		4	4		
Geth, Thane of Contracts	1BB	Legendary Creature — Phyrexian Zombie 	Other creatures you control get -1/-1.\n 1BB, T: Return target creature card from your graveyard to the battlefield. It gains “If this creature would leave the battlefield, exile it instead of putting it anywhere else.” Activate only as a sorcery.		3	4		
Green Slime	2G	Creature — Ooze 	Flash\n When this creature enters, counter target activated or triggered ability from an artifact or enchantment source. If a permanent’s ability is countered this way, destroy that permanent.\n Foretell G (During your turn, you may pay 2 and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)		2	2		
Ichorclaw Myr	2	Artifact Creature — Phyrexian Myr 	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\n Whenever this creature becomes blocked, it gets +2/+2 until end of turn.		1	1		
Karumonix, the Rat King	1BB	Legendary Creature — Phyrexian Rat 	Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)\n Other Rats you control have toxic 1.\n When Karumonix enters, look at the top five cards of your library. You may reveal any number of Rat cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in a random order.		3	3		
Myr Convert	2	Artifact Creature — Phyrexian Myr 	Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)\n T, Pay 2 life: Add one mana of any color.					
Necrogen Rotpriest	2BG	Creature — Phyrexian Zombie Cleric 	Toxic 2 (Players dealt combat damage by this creature also get two poison counters.)\n Whenever a creature you control with toxic deals combat damage to a player, that player gets an additional poison counter.\n 1BG: Target creature you control with toxic gains deathtouch until end of turn.		1	5		
Nimraiser Paladin	4B	Creature — Phyrexian Knight 	Toxic 2 (Players dealt combat damage by this creature also get two poison counters.)\n When this creature enters, return target creature card with mana value 3 or less from your graveyard to your hand.		4	4		
Pestilent Syphoner	1B	Creature — Phyrexian Insect 	Flying\n Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)		1	1		
Plague Myr	2	Artifact Creature — Phyrexian Myr 	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\n T: Add 1.		1	1		
Pollenbright Druid	1G	Creature — Elf Druid 	When this creature enters, choose one —\n • Put a +1/+1 counter on target creature.\n • Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)		1	1		
Shriekmaw	4B	Creature — Elemental 	Fear (This creature can’t be blocked except by artifact creatures and/or black creatures.)\n When this creature enters, destroy target nonartifact, nonblack creature.\n Evoke 1B (You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters.)		3	2		
Venerated Rotpriest	G	Creature — Phyrexian Druid 	Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)\n Whenever a creature you control becomes the target of a spell, target opponent gets a poison counter.		1	2		
Venomous Brutalizer	2GG	Creature — Knight Phyrexian 	Toxic 3 (Players dealt combat damage by this creature also get three poison counters.)\n When this creature enters, you may pay 1G. If you do, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)		4	4		
Viridian Corrupter	1GG	Creature — Phyrexian Elf Shaman 	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\n When this creature enters, destroy target artifact.		2	2		
Whispering Specter	1BB	Creature — Phyrexian Specter 	Flying\n Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\n Whenever this creature deals combat damage to a player, you may sacrifice it. If you do, that player discards a card for each poison counter they have.		1	1		
Prey on the Weak	W	Instant	Spree (Choose one or more additional costs.)\n + W — Exile target artifact or enchantment\n + BB — Exile target creature\n + UU — Exile target spell\n + WUB — Make a copy of each nonland card exiled this way, you may cast the copies without paying their mana costs. 					
Goliath Hatchery	4GG	Enchantment	When this enchantment enters, create two 3/3 green Phyrexian Beast creature tokens with toxic 1. (Players dealt combat damage by this creature also get a poison counter.)\n Corrupted — At the beginning of your upkeep, if an opponent has three or more poison counters, choose a creature you control, then draw cards equal to its total toxic value.					
Necrogen Communion	1B	Enchantment — Aura 	Enchant creature you control\n Enchanted creature has toxic 2. (Players dealt combat damage by this creature also get two poison counters.)\n When enchanted creature dies, return that card to the battlefield under your control.					
Ashnod's Intervention	B	Instant	Until end of turn, target creature gets +2/+0 and gains “When this creature dies or is put into exile from the battlefield, return it to its owner’s hand.”					
Atomize	2BG	Instant	Destroy target nonland permanent. Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)					
Fatal Push	B	Instant	Destroy target creature if it has mana value 2 or less.\n Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent left the battlefield under your control this turn.					
Feign Death	B	Instant	Until end of turn, target creature gains “When this creature dies, return it to the battlefield tapped under its owner’s control with a +1/+1 counter on it.”					
Go for the Throat	1B	Instant	Destroy target nonartifact creature.					
Nature's Claim	G	Instant	Destroy target artifact or enchantment. Its controller gains 4 life.					
Shoot the Sheriff	1B	Instant	Destroy target non-outlaw creature. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)					
Access Tunnel		Land	T: Add C.\n 3, T: Target creature with power 3 or less can’t be blocked this turn.					
Blooming Marsh		Land	This land enters tapped unless you control two or fewer other lands.\n T: Add B or G.					
Mirrex		Land — Sphere 	T: Add C.\n T: Add one mana of any color. Activate only if this land entered this turn.\n 3, T: Create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and “This token can’t block.” (Players dealt combat damage by this creature also get a poison counter.)					
Necroblossom Snarl		Land	As this land enters, you may reveal a Swamp or Forest card from your hand. If you don’t, this land enters tapped.\n T: Add B or G.					
Tainted Wood		Land	T: Add C.\n T: Add B or G. Activate only if you control a Swamp.					
Viridescent Bog		Land	1, T: Add BG.					
Woodland Cemetery		Land	This land enters tapped unless you control a Swamp or a Forest.\n T: Add B or G.					
Nissa, Ascended Animist	3GGH/GH/G	Legendary Planeswalker — Nissa 					7	
Vraska, Betrayal's Sting	4BH/B	Legendary Planeswalker — Vraska 					6	
Expand the Sphere	3G	Sorcery	Look at the top six cards of your library. Put up to two land cards from among them onto the battlefield tapped and the rest on the bottom of your library in a random order. If you put fewer than two lands onto the battlefield this way, proliferate a number of times equal to the difference. (To proliferate, choose any number of permanents and/or players, then give each another counter of each kind already there.)					
Lively Dirge	1B	Sorcery	Spree (Choose one or more additional costs.)\n + 1 — Search your library for a card, put it into your graveyard, then shuffle.\n + 2 — Return up to two creature cards with total mana value 4 or less from your graveyard to the battlefield.					
Thirsting Roots	G	Sorcery	Choose one —\n • Search your library for a basic land card, reveal it, put it into your hand, then shuffle.\n • Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)					
Thwart the Grave	4BB	Sorcery	This spell costs  less to cast for each creature in your party. (Your party consists of up to one of each of Cleric, Rogue, Warrior, and Wizard.)\n Return target creature card and up to one target Cleric, Rogue, Warrior, or Wizard creature card from your graveyard to the battlefield.					
Unearth	B	Sorcery	Return target creature card with mana value 3 or less from your graveyard to the battlefield.\n Cycling 2 (2, Discard this card: Draw a card.)					
Unnatural Restoration	1G	Sorcery	Return target permanent card from your graveyard to your hand. Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)					
Wurmquake	4GG	Sorcery	Corrupted — Create an X/X green Phyrexian Wurm creature token with trample and toxic 1, where X is the amount of mana spent to cast this spell. Then for each opponent with three or more poison counters, you create another one of those tokens.\n Flashback 8GG (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Alseid of Life's Bounty	W	Enchantment Creature — Nymph 	Lifelink\n 1, Sacrifice this creature: Target creature or enchantment you control gains protection from the color of your choice until end of turn.		1	1		
Eidolon of Blossoms	2GG	Enchantment Creature — Spirit 	Constellation — Whenever this creature or another enchantment you control enters, draw a card.		2	2		
Gloomshrieker	1BG	Enchantment Creature — Cat Beast 	Menace\n When this creature enters, return target permanent card from your graveyard to your hand.\n If this creature would die, exile it instead.		2	1		
Jukai Naturalist	GW	Enchantment Creature — Human Monk 	Lifelink\n Enchantment spells you cast cost 1 less to cast.		2	2		
Sanctum Weaver	1G	Enchantment Creature — Dryad 	T: Add X mana of any one color, where X is the number of enchantments you control.		0	2		
Satyr Enchanter	1GW	Creature — Satyr Druid 	Whenever you cast an enchantment spell, draw a card.		2	2		
Setessan Champion	2G	Creature — Human Warrior 	Constellation — Whenever an enchantment you control enters, put a +1/+1 counter on this creature and draw a card.		1	3		
Spellbook Vendor	1W	Creature — Human Peasant 	Vigilance\n At the beginning of combat on your turn, you may pay 1. When you do, create a Sorcerer Role token attached to target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has “Whenever this creature attacks, scry 1.”)					
Sythis, Harvest's Hand	GW	Legendary Enchantment Creature — Nymph 	Whenever you cast an enchantment spell, you gain 1 life and draw a card.		1	2		
The Peregrine Dynamo	3	Legendary Artifact Creature — Construct 	Haste\n 1, T: Copy target activated or triggered ability you control from another legendary source that’s not a commander. You may choose new targets for the copy. (Mana abilities can’t be targeted.)		1	5		
Umbra Mystic	2W	Creature — Human Wizard 	Auras attached to permanents you control have umbra armor. (If enchanted permanent would be destroyed, instead remove all damage from it and destroy this Aura.)		2	2		
All That Glitters	1W	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.					
Ancestral Mask	2G	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +2/+2 for each other enchantment on the battlefield.					
Aspect of Mongoose	1G	Enchantment — Aura 	Enchant creature\n Enchanted creature has shroud. (It can’t be the target of spells or abilities.)\n When this Aura is put into a graveyard from the battlefield, return it to its owner’s hand.					
Audacity	G	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +2/+0 and has trample.\n When this Aura is put into a graveyard from the battlefield, draw a card.					
Carapace	G	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +0/+2.\n Sacrifice this Aura: Regenerate enchanted creature. (The next time this permanent would be destroyed this turn, it isn’t. Instead tap it.)					
Darksteel Mutation	1W	Enchantment — Aura 	Enchant creature\n Enchanted creature is an Insect artifact creature with base power and toughness 0/1 and has indestructible, and it loses all other abilities, card types, and creature types.					
Daybreak Coronet	WW	Enchantment — Aura 	Enchant creature with another Aura attached to it\n Enchanted creature gets +3/+3 and has first strike, vigilance, and lifelink.					
Dog Umbra	1W	Enchantment — Aura 	Flash\n Enchant creature\n As long as another player controls enchanted creature, it can’t attack or block. Otherwise, this Aura has umbra armor. (If enchanted permanent would be destroyed, instead remove all damage from it and destroy this Aura.)					
Edge of the Divinity	W/B	Enchantment — Aura 	Enchant creature\n As long as enchanted creature is white, it gets +1/+2.\n As long as enchanted creature is black, it gets +2/+1.					
Enchantress's Presence	2G	Enchantment	Whenever you cast an enchantment spell, draw a card.					
Ethereal Armor	W	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +1/+1 for each enchantment you control and has first strike.					
Fertile Ground	1G	Enchantment — Aura 	Enchant land\n Whenever enchanted land is tapped for mana, its controller adds an additional one mana of any color.					
Grasp of Fate	1WW	Enchantment	When this enchantment enters, for each opponent, exile up to one target nonland permanent that player controls until this enchantment leaves the battlefield. (Those permanents return under their owners’ control.)					
Hyena Umbra	W	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +1/+1 and has first strike.\n Umbra armor (If enchanted permanent would be destroyed, instead remove all damage from it and destroy this Aura.)					
Indrik Umbra	4GW	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +4/+4 and has first strike, and all creatures able to block it do so.\n Umbra armor (If enchanted permanent would be destroyed, instead remove all damage from it and destroy this Aura.)					
Journey to Eternity	1BG	Legendary Enchantment — Aura 	Enchant creature you control\n When enchanted creature dies, return it to the battlefield under your control, then return this card to the battlefield transformed under your control.					Atzal, Cave of Eternity		Legendary Land	(Transforms from Journey to Eternity.)\n T: Add one mana of any color.\n 3BG, T: Return target creature card from your graveyard to the battlefield.					
Lignify	1G	Kindred Enchantment — Treefolk Aura 	Enchant creature\n Enchanted creature is a Treefolk with base power and toughness 0/4 and loses all abilities.	Bulgo paused, puzzled. What was that rustling sound, and why did he feel so stiff? And how could his *feet* be so thirsty?				
Lion Umbra	GG	Enchantment — Aura 	Enchant modified creature\n Enchanted creature gets +3/+3 and has vigilance and reach.\n Umbra armor (If enchanted permanent would be destroyed, instead remove all damage from it and destroy this Aura.)					
Mantle of the Ancients	3WW	Enchantment — Aura 	Enchant creature you control\n When this Aura enters, return any number of target Aura and/or Equipment cards from your graveyard to the battlefield attached to enchanted creature.\n Enchanted creature gets +1/+1 for each Aura and Equipment attached to it.					
Ordeal of Erebos	1B	Enchantment — Aura 	Enchant creature\n Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice this Aura.\n When you sacrifice this Aura, target player discards two cards.					
Ordeal of Nylea	1G	Enchantment — Aura 	Enchant creature\n Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice this Aura.\n When you sacrifice this Aura, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.					
Ossification	1W	Enchantment — Aura 	Enchant basic land you control\n When this Aura enters, exile target creature or planeswalker an opponent controls until this Aura leaves the battlefield.					
Oubliette	1BB	Enchantment	When this enchantment enters, target creature phases out until this enchantment leaves the battlefield. Tap that creature as it phases in this way. (Treat it and anything attached to it as though they don’t exist until its controller’s next turn.)					
Rancor	G	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +2/+0 and has trample.\n When this Aura is put into a graveyard from the battlefield, return it to its owner’s hand.					
Sage's Reverie	3W	Enchantment — Aura 	Enchant creature\n When this Aura enters, draw a card for each Aura you control that’s attached to a creature.\n Enchanted creature gets +1/+1 for each Aura you control that’s attached to a creature.					
Shield of the Oversoul	2G/W	Enchantment — Aura 	Enchant creature\n As long as enchanted creature is green, it gets +1/+1 and has indestructible.\n As long as enchanted creature is white, it gets +1/+1 and has flying.					
Spectra Ward	3WW	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +2/+2 and has protection from each color. This effect doesn’t remove Auras. (This permanent can’t be targeted, dealt damage, enchanted, or equipped by anything each color.)					
Spider Umbra	G	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +1/+1 and has reach. (It can block creatures with flying.)\n Umbra armor (If enchanted permanent would be destroyed, instead remove all damage from it and destroy this Aura.)					
Vraska Joins Up	BG	Legendary Enchantment	When Vraska Joins Up enters, put a deathtouch counter on each creature you control.\n Whenever a legendary creature you control deals combat damage to a player, draw a card.					
Wheel of Sun and Moon	G/WG/W	Enchantment — Aura 	Enchant player\n If a card would be put into enchanted player’s graveyard from anywhere, instead that card is revealed and put on the bottom of that player’s library.					
Wild Growth	G	Enchantment — Aura 	Enchant land\n Whenever enchanted land is tapped for mana, its controller adds an additional G.					
Apostle's Blessing	1H/W	Instant	(H/W can be paid with either W or 2 life.)\n Target artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.					
Assassin's Trophy	BG	Instant	Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle.					
Blacksmith's Skill	W	Instant	Target permanent gains hexproof and indestructible until end of turn. If it’s an artifact creature, it gets +2/+2 until end of turn.					
Built to Last	W	Instant	Target creature gets +2/+2 until end of turn. If it’s an artifact creature, it gains indestructible until end of turn.					
Mythos of Nethroi	2B	Instant	Destroy target nonland permanent if it’s a creature or if GW was spent to cast this spell.					
Not Dead After All	B	Instant	Until end of turn, target creature you control gains “When this creature dies, return it to the battlefield tapped under its owner’s control, then create a Wicked Role token attached to it.” (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1. When this Aura is put into a graveyard, each opponent loses 1 life.)					
Royal Treatment	G	Instant	Target creature you control gains hexproof until end of turn. Create a Royal Role token attached to that creature. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ward 1.)					
Temple of Malady		Land	This land enters tapped.\n When this land enters, scry 1.\n T: Add B or G.					
Vivien Reid	3GG	Legendary Planeswalker — Vivien 	[+1]: Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\n [-3]: Destroy target artifact, enchantment, or creature with flying.\n [-8]: You get an emblem with “Creatures you control get +2/+2 and have vigilance, trample, and indestructible.”				5	
